Station,Local authority,Managed by,Station code,Fare zone,Year opened,Category,Coordinates
Putney[46],Wandsworth,South Western Railway,PUT,2/3,1844,C,51.4611°N 0.2162°W
Queen's Park,Brent,London Underground,QPW,2,1879,C,51.5341°N 0.2053°W
Queens Road Peckham,Southwark,Southern,QRP,2,1866,E,51.4736°N 0.0573°W
Queenstown Road (Battersea),Wandsworth,South Western Railway,QRB,2,1877,F,51.4748°N 0.1470°W
Rainham,Havering,c2c,RNM,6,1854,C,51.5169°N 0.1905°E
Ravensbourne,Bromley,Southeastern,RVB,4,1892,E,51.4141°N 0.0075°W
Raynes Park,Merton,South Western Railway,RAY,4,1838,C,51.4094°N 0.2299°W
Rectory Road[22],Hackney,London Overground,REC,2,1872,E,51.5584°N 0.0681°W
Reedham,Croydon,Southern,RHM,6,1911,E,51.3313°N 0.1233°W
Richmond,Richmond upon Thames,South Western Railway,RMD,4,1846,B,51.4630°N 0.3014°W
Rickmansworth,Three Riversout-boundary,London Underground,RIC,7,1887,unlisted,51.6402°N 0.4733°W
Riddlesdown[47],Croydon,Southern,RDD,6,1927,E,51.3323°N 0.0996°W
Romford,Havering,TfL Rail,RMF,6,1839,C,51.5749°N 0.1827°E
Rotherhithe,Southwark,London Overground,ROE,2,1869,unlisted,51.5008°N 0.0522°W
St Helier,Merton,Thameslink,SIH,4,1930,F,51.3901°N 0.1985°W
St James Street[48],Waltham Forest,London Overground,SJS,3,1870,D,51.5810°N 0.0323°W
St Johns,Lewisham,Southeastern,SAJ,2,1849,E,51.4691°N 0.0225°W
St Margarets,Richmond upon Thames,South Western Railway,SMG,4,1876,C,51.4550°N 0.3204°W
St Mary Cray,Bromley,Southeastern,SMY,6,1858,C,51.3947°N 0.1058°E
St PancrasLondon,Camden,Network Rail/Eurostar,STP,1,1868,A/Cd,51.5314°N 0.1261°W
Sanderstead,Croydon,Southern,SNR,6,1884,D,51.3484°N 0.0940°W
Selhurst[12],Croydon,Southern,SRS,4,1865,D,51.3921°N 0.0883°W
Seven Kings[21],Redbridge,TfL Rail,SVK,4,1899,C,51.5635°N 0.0969°E
Seven Sisters,Haringey,London Overground,SVS,3,1872,D,51.5839°N 0.0756°W
Shadwell,Tower Hamlets,London Overground,SDE,2,1876,unlisted,51.5112°N 0.0569°W
Shenfield,Brentwoodout-boundary,Greater Anglia,SNF,B,1843,B,51.6331°N 0.3328°E
Shepherd's Bush,Hammersmith and Fulham,London Overground,SPB,2,2008,D,51.5051°N 0.2175°W
Shoreditch High Street,Hackney,London Overground,SDC,1,2010,unlisted,51.5234°N 0.0768°W
Shortlands,Bromley,Southeastern,SRT,4,1858,D,51.4058°N 0.0019°E
Sidcup,Bexley,Southeastern,SID,5,1866,C,51.4338°N 0.1040°E
Silver Street,Enfield,London Overground,SLV,4,1872,D,51.6149°N 0.0676°W
Slade Green,Bexley,Southeastern,SGR,6,1866,E,51.4678°N 0.1904°E
South Acton,Ealing,London Overground,SAT,3,1880,E,51.4994°N 0.2707°W
Southall,Ealing,TfL Rail,STL,4,1839,D,51.5060°N 0.3783°W
South Bermondsey,Southwark,Southern,SBM,2,1866,E,51.4887°N 0.0548°W
Southbury[49],Enfield,London Overground,SBU,5,1891,E,51.6488°N 0.0524°W
South Croydon,Croydon,Southern,SCY,5,1865,D,51.3629°N 0.0933°W
South Greenford[50],Ealing,Great Western Railway,SGN,4,1903,F,51.5342°N 0.3369°W
South Hampstead[51],Camden,London Overground,SOH,2,1879,E,51.5414°N 0.1788°W
South Kenton,Brent,London Underground,SOK,4,1933,E,51.5703°N 0.3086°W
South Merton,Merton,Thameslink,SMO,4,1930,F,51.4030°N 0.2062°W
South Ruislip,Hillingdon,Chiltern Railways,SRU,5,1908,F,51.5569°N 0.3988°W
South Tottenham,Haringey,London Overground,STO,3,1871,E,51.5802°N 0.0720°W
Stamford Hill,Haringey,London Overground,SMH,3,1872,E,51.5749°N 0.0761°W
Stoke Newington[22],Hackney,London Overground,SKW,2,1872,E,51.5651°N 0.0727°W
Stonebridge Park,Brent,London Underground,SBP,3,1912,D,51.5440°N 0.2754°W
